rank,unigram,frequency
1,like,659
2,have,583
3,salt,550
4,sanctuary,537
5,it's,483
6,one,421
7,all,416
8,more,405
9,first,400
10,good,354
11,fun,336
12,some,335
13,get,326
14,mages,324
15,bosses,283
16,there,281
17,mage,271
18,even,254
19,enemies,248
20,don't,240
21,boss,239
22,time,237
23,monster,227
24,up,226
25,which,219
26,still,215
27,much,212
28,also,208
29,has,207
30,hunter,203
31,what,203
32,only,202
33,weapons,201
34,other,199
35,out,199
36,sacrifice,197
37,play,190
38,into,188
39,lot,187
40,because,181
41,when,180
42,same,179
43,souls,177
44,different,172
45,while,169
46,too,168
47,about,166
48,better,165
49,bad,164
50,feel,163
51,way,163
52,after,157
53,most,155
54,combat,153
55,feels,146
56,make,135
57,great,134
58,new,134
59,world,134
60,had,133
61,level,132
62,fight,129
63,around,128
64,gameplay,128
65,played,128
66,design,127
67,love,127
68,weapon,127
69,map,125
70,through,124
71,dark,119
72,every,119
73,how,119
74,i'm,119
75,well,118
76,armor,114
77,down,114
78,many,114
79,where,114
80,attack,112
81,think,111
82,go,110
83,now,109
84,damage,108
85,each,108
86,people,107
87,want,107
88,enough,106
89,things,106
90,you're,102
91,there's,100
92,any,99
93,attacks,99
94,say,99
95,back,98
96,here,98
97,pretty,98
98,use,97
99,find,96
100,having,96
101,something,95
102,2d,94
103,before,94
104,over,94
105,bit,93
106,enemy,93
107,hunt,93
108,hit,92
109,multiplayer,92
110,experience,91
111,far,91
112,off,90
113,actually,88
114,playing,88
115,made,87
116,recommend,87
117,system,87
118,another,85
119,kill,84
120,know,84
121,area,83
122,though,83
123,need,82
124,who,82
125,doesn't,81
126,getting,81
127,end,80
128,especially,80
129,few,80
130,see,80
131,thing,80
132,two,80
133,give,79
134,why,79
135,areas,78
136,isn't,78
137,co-op,77
138,sequel,77
139,again,76
140,can't,76
141,both,73
142,instead,73
143,story,73
144,got,72
145,i've,72
146,overall,72
147,annoying,71
148,didn't,70
149,times,70
150,style,69
151,heavy,68
152,since,68
153,own,67
154,exploration,66
155,hunting,66
156,items,66
157,makes,66
158,quite,66
159,soulslike,66
160,try,66
161,cool,65
162,less,65
163,little,65
164,once,65
165,big,64
166,reviews,64
167,souls-like,64
168,either,63
169,hunts,63
170,skill,63
171,that's,63
172,worth,63
173,you'll,63
174,fighting,62
175,going,62
176,everything,61
177,fights,61
178,metroidvania,61
179,player,61
180,right,60
181,said,60
182,start,59
183,point,58
184,hub,57
185,mechanics,57
186,players,57
187,main,56
188,enjoy,55
189,never,55
190,nice,55
191,original,55
192,stuff,55
193,away,54
194,character,54
195,build,53
196,chase,53
197,hard,53
198,maybe,53
199,frustrating,52
200,until,52
