language,False,True,False_percentage_of_total,True_percentage_of_total
brazilian,19,99,1.0422,5.4306
czech,1,3,0.0549,0.1646
danish,0,1,0.0,0.0549
dutch,0,1,0.0,0.0549
english,217,526,11.9035,28.8535
finnish,0,2,0.0,0.1097
french,6,12,0.3291,0.6583
german,12,10,0.6583,0.5485
hungarian,0,2,0.0,0.1097
italian,3,8,0.1646,0.4388
japanese,25,20,1.3714,1.0971
koreana,18,14,0.9874,0.768
latam,1,8,0.0549,0.4388
polish,2,15,0.1097,0.8228
portuguese,1,2,0.0549,0.1097
russian,49,90,2.6879,4.9369
schinese,289,226,15.853,12.3971
spanish,11,59,0.6034,3.2364
tchinese,17,24,0.9325,1.3165
thai,5,3,0.2743,0.1646
turkish,5,6,0.2743,0.3291
ukrainian,0,9,0.0,0.4937
vietnamese,1,1,0.0549,0.0549
