review_created_date_month,review_count,positive_reviews,negative_reviews,positive_percentage,negative_percentage,positive_negative_ratio,positive_percentage_change_vs_previous_month
2023-11,394,249,145,63.198,36.802,1.7172,
2023-12,107,66,41,61.6822,38.3178,1.6098,-1.5157999999999987
2024-01,78,56,22,71.7949,28.2051,2.5455,10.112699999999997
2024-02,23,19,4,82.6087,17.3913,4.75,10.8138
2024-03,90,55,35,61.1111,38.8889,1.5714,-21.4976
2024-04,30,19,11,63.3333,36.6667,1.7273,2.222200000000001
2024-05,156,93,63,59.6154,40.3846,1.4762,-3.7179
2024-06,45,31,14,68.8889,31.1111,2.2143,9.273500000000006
2024-07,82,48,34,58.5366,41.4634,1.4118,-10.352300000000007
2024-08,37,26,11,70.2703,29.7297,2.3636,11.733700000000006
2024-09,22,13,9,59.0909,40.9091,1.4444,-11.179400000000008
2024-10,22,16,6,72.7273,27.2727,2.6667,13.636400000000002
2024-11,33,18,15,54.5455,45.4545,1.2,-18.181800000000003
2024-12,91,50,41,54.9451,45.0549,1.2195,0.3995999999999995
2025-01,55,32,23,58.1818,41.8182,1.3913,3.236700000000006
2025-02,79,53,26,67.0886,32.9114,2.0385,8.906799999999997
2025-03,62,37,25,59.6774,40.3226,1.48,-7.411200000000001
2025-04,26,14,12,53.8462,46.1538,1.1667,-5.8311999999999955
2025-05,22,12,10,54.5455,45.4545,1.2,0.6992999999999938
2025-06,25,18,7,72.0,28.0,2.5714,17.454500000000003
2025-07,54,33,21,61.1111,38.8889,1.5714,-10.8889
2025-08,23,17,6,73.913,26.087,2.8333,12.801899999999996
2025-09,38,25,13,65.7895,34.2105,1.9231,-8.123499999999993
2025-10,33,18,15,54.5455,45.4545,1.2,-11.244000000000007
2025-11,23,8,15,34.7826,65.2174,0.5333,-19.762899999999995
2025-12,35,25,10,71.4286,28.5714,2.5,36.646
2026-01,54,31,23,57.4074,42.5926,1.3478,-14.0212
2026-02,36,24,12,66.6667,33.3333,2.0,9.259300000000003
2026-03,39,30,9,76.9231,23.0769,3.3333,10.2564
2026-04,9,5,4,55.5556,44.4444,1.25,-21.367500000000007
