review_created_date_month,review_length_words_count_non_null,review_length_words_mean,review_length_words_median,review_length_words_std,review_length_words_min,review_length_words_p25,review_length_words_p75,review_length_words_p90,review_length_words_max,review_length_chars_count_non_null,review_length_chars_mean,review_length_chars_median,review_length_chars_std,review_length_chars_min,review_length_chars_p25,review_length_chars_p75,review_length_chars_p90,review_length_chars_max,review_length_lines_count_non_null,review_length_lines_mean,review_length_lines_median,review_length_lines_std,review_length_lines_min,review_length_lines_p25,review_length_lines_p75,review_length_lines_p90,review_length_lines_max,review_length_words_band_0-9_percentage,review_length_words_band_10-49_percentage,review_length_words_band_100-249_percentage,review_length_words_band_250+_percentage,review_length_words_band_50-99_percentage
2023-11,394,87.2005,12.0,194.0512,0,3.0,64.75,262.4,1455,394,555.0127,121.5,1099.4116,0,31.25,524.0,1709.1,7997,393,4.9389,1.0,8.5288,1.0,1.0,5.0,13.8,75.0,45.9391,26.1421,9.8985,10.6599,7.3604
2023-12,107,72.0748,17.0,151.513,0,2.0,72.5,192.4,1195,107,466.9533,205.0,852.8719,0,45.0,576.0,1120.0,6798,106,4.3113,1.0,6.0997,1.0,1.0,5.0,12.0,35.0,39.2523,27.1028,13.0841,7.4766,13.0841
2024-01,78,130.9231,28.0,226.4021,1,4.25,137.75,444.2,1001,78,765.2436,182.5,1288.0331,3,51.5,770.0,2632.4,5538,78,6.141,1.0,10.7796,1.0,1.0,7.0,15.6,61.0,32.0513,29.4872,16.6667,15.3846,6.4103
2024-02,23,73.3043,10.0,113.1433,1,1.0,123.0,207.4,417,23,483.913,84.0,814.1802,2,10.5,654.0,1280.8,3376,23,9.6522,1.0,19.3663,1.0,1.0,6.5,26.0,81.0,47.8261,17.3913,21.7391,8.6957,4.3478
2024-03,90,83.3111,16.0,150.4195,1,1.0,89.25,275.1,716,90,543.0556,134.5,871.6616,1,27.5,679.25,1687.6,4009,90,6.5222,1.0,14.4652,1.0,1.0,6.75,15.0,102.0,44.4444,23.3333,12.2222,11.1111,8.8889
2024-04,30,72.5333,26.0,106.4194,1,2.75,83.5,204.0,412,30,432.0667,177.0,609.366,3,45.5,547.0,1230.1,2485,30,4.2,1.0,7.1264,1.0,1.0,3.0,8.2,33.0,33.3333,30.0,13.3333,10.0,13.3333
2024-05,156,88.0962,8.5,197.7424,1,2.0,76.5,224.0,1228,156,571.8974,135.0,1172.3574,1,26.75,565.5,1341.5,7874,156,4.7115,1.0,6.5638,1.0,1.0,7.0,12.0,31.0,51.9231,18.5897,14.1026,7.6923,7.6923
2024-06,45,26.9111,4.0,63.8467,1,1.0,24.0,61.8,372,45,181.7778,79.0,397.6436,2,30.0,134.0,340.8,2450,45,1.6667,1.0,2.3837,1.0,1.0,1.0,2.0,16.0,62.2222,22.2222,2.2222,2.2222,11.1111
2024-07,82,73.5122,9.5,193.6612,1,2.0,47.75,167.9,1460,82,451.9268,107.5,1063.9849,2,32.5,310.0,956.6,7991,82,5.2439,1.0,15.9579,1.0,1.0,2.0,8.9,108.0,50.0,24.3902,6.0976,8.5366,10.9756
2024-08,37,67.0811,27.0,113.5871,1,5.0,70.0,180.2,472,37,506.0541,220.0,677.0129,3,64.0,616.0,1188.6,2791,37,5.4054,3.0,9.4559,1.0,1.0,7.0,9.2,57.0,40.5405,27.027,10.8108,5.4054,16.2162
2024-09,22,60.5455,7.5,198.0105,1,3.0,28.75,81.6,938,22,412.7273,123.0,1063.2789,6,60.75,219.25,574.5,5081,22,4.7727,1.0,7.9398,1.0,1.0,4.75,9.0,36.0,54.5455,31.8182,4.5455,4.5455,4.5455
2024-10,22,90.5455,25.5,131.2688,1,3.0,115.75,297.1,428,22,514.9545,143.5,719.2908,3,18.25,656.5,1816.8,2235,22,3.9545,1.0,6.9862,1.0,1.0,1.75,12.2,29.0,40.9091,18.1818,13.6364,18.1818,9.0909
2024-11,33,61.9091,2.0,204.7935,0,1.0,12.0,33.8,1061,33,385.7879,22.0,1140.0069,0,7.0,77.0,723.8,5726,32,4.2812,1.0,9.7393,1.0,1.0,1.0,11.1,45.0,72.7273,18.1818,,9.0909,
2024-12,91,77.6044,11.0,202.2994,1,3.0,54.0,197.0,1506,91,538.989,163.0,1109.1565,4,52.5,534.5,1527.0,7978,91,4.5495,1.0,7.0668,1.0,1.0,5.0,11.0,37.0,46.1538,27.4725,6.5934,9.8901,9.8901
2025-01,55,45.9273,7.0,100.4482,1,2.0,39.5,98.6,631,55,301.7818,119.0,560.072,1,24.0,343.0,703.0,3415,55,2.4545,1.0,3.225,1.0,1.0,1.5,6.6,13.0,54.5455,21.8182,7.2727,3.6364,12.7273
2025-02,79,47.3291,11.0,112.8425,1,1.5,44.5,128.8,918,79,305.481,107.0,650.5628,1,27.5,329.5,773.6,5268,79,3.0253,1.0,4.7958,1.0,1.0,3.0,7.4,28.0,46.8354,29.1139,13.9241,1.2658,8.8608
2025-03,62,60.4677,6.0,137.4019,1,1.0,44.0,179.8,802,62,365.2258,71.5,746.1888,4,26.25,363.25,966.0,4415,62,3.2258,1.0,5.2773,1.0,1.0,3.0,8.9,30.0,59.6774,16.129,16.129,4.8387,3.2258
2025-04,26,89.5,12.0,203.3783,1,2.25,53.0,246.0,931,26,518.1538,86.0,1110.1641,1,31.0,305.5,1380.5,5041,26,3.3077,1.0,4.077,1.0,1.0,3.0,7.5,19.0,46.1538,23.0769,11.5385,11.5385,7.6923
2025-05,22,88.0455,56.0,113.7133,1,15.5,98.75,238.6,480,22,514.6364,341.5,626.9932,1,107.0,587.5,1346.2,2610,22,3.3636,1.0,3.8735,1.0,1.0,6.25,8.9,13.0,18.1818,27.2727,18.1818,9.0909,27.2727
2025-06,25,77.72,12.0,172.0752,1,3.0,30.0,236.8,668,25,535.2,81.0,1046.8306,1,18.0,199.0,1864.4,3665,25,5.32,1.0,9.2948,1.0,1.0,3.0,19.2,32.0,44.0,36.0,4.0,12.0,4.0
2025-07,54,44.3333,9.5,117.8211,1,1.0,40.25,92.9,820,54,291.4815,139.5,621.7797,2,18.0,285.0,624.8,4269,54,2.7963,1.0,4.0159,1.0,1.0,2.75,6.7,19.0,50.0,29.6296,5.5556,3.7037,11.1111
2025-08,23,161.5652,12.0,338.0855,1,1.0,123.0,430.8,1372,23,984.6087,181.0,2010.653,2,12.5,667.5,2650.4,7987,23,6.0435,1.0,9.4699,1.0,1.0,7.5,17.8,33.0,47.8261,17.3913,13.0435,17.3913,4.3478
2025-09,38,77.9211,13.0,208.9295,1,2.0,58.5,162.9,1204,38,494.0789,93.0,1319.8301,4,26.5,382.5,862.1,7835,38,2.5789,1.0,3.8177,1.0,1.0,3.0,5.3,21.0,47.3684,23.6842,5.2632,7.8947,15.7895
2025-10,33,62.2727,13.0,109.3456,1,2.0,70.0,152.6,543,33,361.7576,98.0,571.8941,3,24.0,488.0,899.4,2762,33,3.0303,1.0,3.7038,1.0,1.0,3.0,8.6,15.0,45.4545,21.2121,15.1515,6.0606,12.1212
2025-11,23,93.0435,16.0,178.8708,1,1.0,76.5,233.6,746,23,594.3913,226.0,939.5038,3,113.5,628.0,1361.2,3952,23,5.0435,1.0,6.1087,1.0,1.0,7.5,13.8,22.0,43.4783,26.087,13.0435,8.6957,8.6957
2025-12,35,36.2571,10.0,69.096,1,2.0,35.0,104.8,368,35,214.0286,73.0,371.913,1,28.5,187.5,565.2,2010,35,1.6571,1.0,1.714,1.0,1.0,1.0,3.0,9.0,48.5714,28.5714,8.5714,2.8571,11.4286
2026-01,54,80.9815,10.5,169.7027,1,1.0,64.5,284.7,1026,54,483.3704,96.5,931.2077,1,36.25,459.5,1780.6,5489,54,4.5,1.0,7.667,1.0,1.0,3.0,12.4,33.0,46.2963,22.2222,7.4074,12.963,11.1111
2026-02,36,125.5833,20.0,278.5332,1,2.75,67.75,272.5,1438,36,730.6111,149.5,1546.5675,4,31.25,472.5,1681.5,7973,36,4.0833,1.0,6.4824,1.0,1.0,3.0,12.0,27.0,36.1111,27.7778,5.5556,16.6667,13.8889
2026-03,39,68.1795,5.0,240.8432,1,1.0,34.0,79.4,1460,39,390.2821,55.0,1310.1146,1,10.0,193.5,490.6,7916,39,2.0513,1.0,2.9375,1.0,1.0,1.5,3.2,18.0,64.1026,23.0769,5.1282,5.1282,2.5641
2026-04,9,5.0,1.0,7.3144,1,1.0,4.0,14.0,22,9,95.8889,68.0,123.5784,1,8.0,127.0,200.8,392,9,2.0,1.0,2.0,1.0,1.0,2.0,3.8,7.0,77.7778,22.2222,,,
