rank,token,frequency,relative_frequency_per_1000_tokens
1,h1,26,40.185471
2,and,7,10.819165
3,salt,5,7.727975
4,h3,4,6.18238
5,spoiler,4,6.18238
6,まとめ,3,4.636785
7,ng10,2,3.09119
8,ゲーム体験として一つ大事なものを失っている,2,3.09119
9,最後に,2,3.09119
10,良い所,2,3.09119
11,悪い所,2,3.09119
12,追記,2,3.09119
13,sacrifice,2,3.09119
14,です,2,3.09119
15,あっ,2,3.09119
16,can,1,1.545595
17,not,1,1.545595
18,level,1,1.545595
19,up,1,1.545595
20,my,1,1.545595
21,character,1,1.545595
22,with,1,1.545595
23,mouse,1,1.545595
24,keyboard,1,1.545595
25,評価変更,1,1.545595
26,ローカルマルチ,1,1.545595
27,lv310,1,1.545595
28,pt等にオンラインマルチで参加した場合にlvシンクがlv100位になる不具合が修正されない,1,1.545595
29,尚且,1,1.545595
30,lv600,1,1.545595
31,650ptに参加すると更に低くなる,1,1.545595
32,lv600ptにlv45で参加になったりして意味不明,1,1.545595
33,version2以前の時にフィールドバック有志で行ったが解決されていない,1,1.545595
34,進行不能な不具合放置する開発者の姿勢に疑問,1,1.545595
35,ソルとアンドサクリファイス4アカウント購入してlv999キャラ複数作成したほどプレイ済,1,1.545595
36,lv999,1,1.545595
37,3キャラ,1,1.545595
38,3３キャラ,1,1.545595
39,エピックストトア２キャラng10,1,1.545595
40,対人戦が面白い,1,1.545595
41,前作をプレイして,1,1.545595
42,続編ということでかなり期待をしていましたが,1,1.545595
43,ソウルライクと某ハンティングゲームを混ぜたようなゲームです,1,1.545595
44,前作同様のゲームと思って購入するとかなり痛い目をみます,1,1.545595
45,楽しめず,1,1.545595
46,挫折をして途中でやめてしまいましたが,1,1.545595
47,ソウルライクの良さを消すような某ハンティングゲーム要素の足し算です,1,1.545595
48,魔導士を狩る,1,1.545595
49,武具を育てる,1,1.545595
50,スキルを覚えて進める場所が増える,1,1.545595
51,という流れにはなると思いますが,1,1.545595
52,まず魔導士が逃げる,1,1.545595
53,それを追いかける上で道中ソウルライクならではのギミックや雑魚的との戦闘が多々ある,1,1.545595
54,魔導士も何度も逃げるので追いかける手間もさることながら,1,1.545595
55,雑魚的のガードの強さ,1,1.545595
56,ひるみにくさ,1,1.545595
57,ガード不可攻撃の多さにやきもきさせられます,1,1.545595
58,しかも,1,1.545595
59,魔導士を何度も倒し,1,1.545595
60,素材を集め,1,1.545595
61,武具を作るので,1,1.545595
62,ひたすら同じボスを追いかけまわし,1,1.545595
63,倒して,1,1.545595
64,というソウルライクの良さを消す仕様となっています,1,1.545595
65,新しいジャンルのゲームとして認識しつつ,1,1.545595
66,理不尽さをかみしめながらクリアを目指せる人にはもってこい,1,1.545595
67,かもしれませんが,1,1.545595
68,ソウルライクというジャンルではないと自分は思います,1,1.545595
69,ボスが逃げるとか,1,1.545595
70,ストーリーが微妙とか,1,1.545595
71,マップの方式がダメだとか,1,1.545595
72,そういうことは置いといて最悪な点が1つある,1,1.545595
73,ビルドの構築面白く無さすぎだろ,1,1.545595
74,好きな武器みたいな装備はできません,1,1.545595
75,ヴァンファードという盾,1,1.545595
76,片手剣のセット武器しか盾は使えないしパリィも無い,1,1.545595
77,武器には個別にスキルが付いている場合が多いのだが,1,1.545595
78,神聖,1,1.545595
79,禁忌の2つに分かれていてさらにそれぞれにフォーカス消費,1,1.545595
80,mp,1,1.545595
81,レイジ消費,1,1.545595
82,攻撃により溜まるゲージ,1,1.545595
83,の2つに分かれており,1,1.545595
84,スキルツリーで神聖か禁忌のどちらかを上げていないとただ武器を振り回すことになる,1,1.545595
85,つまり筋力武器に禁忌のスキルが付いてたり神聖のスキルが付いてたりするから筋力しか能力を上げてないとまるで武器が使えないぞ,1,1.545595
86,筋力武器の選択肢が少ないし弱い,1,1.545595
87,技量武器の方が強い,1,1.545595
88,大きい武器が弱い,1,1.545595
89,前作を比べるとリーチ周りがかなり弱体化していて強みが無い,1,1.545595
90,ボスの攻撃も苛烈なので後隙の大きい武器は一撃すら入れられない場合が多い,1,1.545595
91,得意の強靭削りも小型武器のコンボ攻撃で十分なので使う価値が無い,1,1.545595
92,おまけ評価,1,1.545595
93,マップが選択式になったため,1,1.545595
94,前作のような実は頭上の遥か上に隠しステージが,1,1.545595
95,という感動が無い,1,1.545595
96,ボスの造形が皆同じ,1,1.545595
97,騎士,1,1.545595
98,バケモノ,1,1.545595
99,空中タイプ,1,1.545595
100,デカいドラゴン,1,1.545595
101,前作はボス戦前の蝋燭が見えたら一体どんな敵が来るのかとワクワクしていたんだけど,1,1.545595
102,面白い所は前作から引き継いだ少ないsasの要素が楽しいくらいなのでこの作品はオススメしない,1,1.545595
103,サンクチュアリの方を買え,1,1.545595
104,前作からの進化を感じられなかったです,1,1.545595
105,ハッキリと断言する,1,1.545595
106,前作が好きな人ほど買うな,1,1.545595
107,前作が面白いから次回作も面白いと思ったらそんなことはなかったぜ,1,1.545595
108,前作に比べて良い所,1,1.545595
109,驚くことに何一つない,1,1.545595
110,前作に比べて悪い所,1,1.545595
111,チュートリアルのボス倒したら実績が得られると思ったか,1,1.545595
112,今作にそんなものはない,1,1.545595
113,前作だと倒す機会がたった一回限りしかなく,1,1.545595
114,失敗するとそのキャラのセーブデータでは二度とやり直せないだけに挑戦のしがいがある実績チャレンジだった,1,1.545595
115,レベル上げがクソ面倒,1,1.545595
116,なぜならレベル上げ出来るスポットが前作と違って今作は一か所しか無い,1,1.545595
117,ボス戦がすぐに出来ると思った,1,1.545595
118,残念,1,1.545595
119,追いかけっこパートがありまーす,1,1.545595
120,しかも追いかけっこ中に与えたダメージはどうやら無かったことにされてるぞ,1,1.545595
121,おまけにボスに追いついてもすぐに逃げ出すぞ,1,1.545595
122,メ〇ルスライムかオメーはよォォォォ,1,1.545595
123,ダメージを与えつつ,1,1.545595
124,無駄に長い道中を走って追い込むとようやくボス戦が出来るが,1,1.545595
125,前作と比べて演出が薄っぺらくしょぼい,1,1.545595
126,これはソルトアンドサンクチュアリをプレイしたことがある人ほどよくわかるだろう,1,1.545595
127,実際に比べてみるとわかるのだが,1,1.545595
128,今作は道中もボス戦も全体的に静かすぎてこちらのテンションがボス戦に向けて上がっていかないという欠点を抱えている,1,1.545595
129,それとボスは追いかけっこの最中逃げるためにザコを召喚してくるのだが,1,1.545595
130,序盤はこちらの装備に強靭度もクソもないので最悪ザコにボコボコになぐられてボスを倒すどころじゃないのがザラにある,1,1.545595
131,ってかフツーに殺される,1,1.545595
132,ひどいのがボスの使いまわしで,1,1.545595
133,おいこいつ名有りボスだったろ,1,1.545595
134,ってのがその後には普通に名無しボスに格下げ,1,1.545595
135,そんでもって格下げされたからって別にザコになったわけではない,1,1.545595
136,ステータスも使いまわしじゃないのかこれ,1,1.545595
137,ボス戦そのもの以外もひどいと言わざるを得ないのがいくつか,1,1.545595
138,ザコ敵は走ってすり抜けスルー不可,1,1.545595
139,3dじゃないのもあるが普通に通り抜けできないので倒すか一々ローリングですり抜けるのを強いられる,1,1.545595
140,今作にもレベルアップによるスキルツリーがあるが,1,1.545595
141,これが格別にガッカリもの,1,1.545595
142,前作においてはスキルツリーの説明欄にいくつか世界観に関するエピソードが書かれており,1,1.545595
143,これを見ていくのも楽しさの一つだったのだが今作のスキルツリーには何一つない,1,1.545595
144,本当にただの能力値上げの装置でしかない,1,1.545595
145,ただでさえレベル上げるために面倒な位置に存在する場所にいかなきゃいけないのになんだこれは,1,1.545595
146,感の良い人もしくはゲームの情報に強い人なら知ってるとは思いますが,1,1.545595
147,このゲームは2022年5月11日にエピックの方で先に販売されているゲームです,1,1.545595
148,恐らく独占期間が終わったからこっちに来たのでしょう,1,1.545595
149,steamで出来たソルトファン無視してエ〇ックにしっぽ振るの楽しかったか,1,1.545595
150,ああ,1,1.545595
151,本当はこんな事言いたくないのですが,1,1.545595
152,このゲームの出来を見る限り,1,1.545595
153,前作はまぐれ当たりしたとしか思えません,1,1.545595
154,それか今作を作るにあたって前作を作ってたチームが他所に引き抜かれたとかそういうのがない限り,1,1.545595
155,あまりにもこのゲームは前作と比べて格段にクソと化しました,1,1.545595
156,あくまでも素人考えですが,1,1.545595
157,同じソルトの名前を使ったゲームを作ろうと思ったのなら,1,1.545595
158,今作のように前作とは全く違う方向性で作る必要なんて本当にあったんですかね,1,1.545595
159,普通に前作にあった欠点を潰しつつ,1,1.545595
160,長所は伸ばす方向でブラッシュアップしたモノにした方が十分成功したんじゃないでしょうか,1,1.545595
161,最後に改めて申し上げますが,1,1.545595
162,このゲームに関しては前作を愛するものとして失望しか生み出せません,1,1.545595
163,前作と比べてマジもののクソだと切り捨てさせていただきます,1,1.545595
164,前作の素晴らしさに泥を塗るな恥と反省を知れ,1,1.545595
165,ここまで長く書くつもりはなかったのですが思いのたけをぶつけるあまり長くなってしまって申し訳なく思うと同時に,1,1.545595
166,最後まで読んでくださりありがとうございました,1,1.545595
167,世界観は大変好きですが,1,1.545595
168,あまりに司同市乱入が多すぎるのとメイン以外の司の体力が異常すぎて,1,1.545595
169,するめゲーではあるもののおすすめされるかといわれるとしないところ,1,1.545595
170,ボスが逃げるのやクエスト形式なのは構わないが,1,1.545595
171,後半のボスの隙消し,1,1.545595
172,多段高速遠距離攻撃,1,1.545595
173,吹き飛ばし,1,1.545595
174,多段攻撃の設置攻撃の全部盛りは,1,1.545595
175,はっきり言って異常そしてただただ不快,1,1.545595
176,ローリングの距離を任意,1,1.545595
177,装備重量以外で,1,1.545595
178,で調整できない仕様で間隔狭めの設置攻撃に引っかかったら多段攻撃で吹き飛ばされるのは考えたやつはあほかと言いたい,1,1.545595
179,前作はクリアしたけど今回は無理,1,1.545595
180,やる意味が分からないのでアンストしました,1,1.545595
181,セールでもおすすめしないし出来ないレベルです,1,1.545595
182,プレイしてみて賛否両論なのも納得だなーと思った,1,1.545595
183,良い点,1,1.545595
184,スキルツリーと武器防具からなる個性の出しやすさ,1,1.545595
185,選択できる武器防具が多くて思わず迷っちゃう,1,1.545595
186,重い物,1,1.545595
187,軽い物,1,1.545595
188,リーチが長い物に魔法や爆発物,1,1.545595
189,投擲などなど,1,1.545595
190,スキルツリーもかなり広い上に払い戻しでツリーを途中で切る事が出来る,1,1.545595
191,枝の途中にあるステータスノードだけを払い戻ししてさらにその先を伸ばせる,1,1.545595
192,オンライン要素,1,1.545595
193,ソウルシリーズにある協力の白,1,1.545595
194,対戦侵入の赤,1,1.545595
195,警察の青はある,1,1.545595
196,他にも複数あるみたい,1,1.545595
197,特定の人とだけやりたいならパスワード決めも可能,1,1.545595
198,悪い点,1,1.545595
199,ボスモンスターがとにかく逃げる逃げる,1,1.545595
200,一回のボス討伐で6回や7回くらいは逃走する,1,1.545595
