theme,total_hits,hits_per_1000_tokens,reviews_with_theme,review_share_with_theme,mean_count_per_review,mean_per_100_tokens
difficulty,167,2.911386,108,14.8148,0.229081,0.346422
combat,1175,20.484301,263,36.0768,1.611797,1.120998
bosses,593,10.338035,216,29.6296,0.813443,0.772289
exploration,470,8.19372,193,26.4746,0.644719,0.58112
story,188,3.277488,103,14.1289,0.257888,0.245099
worldbuilding,44,0.767072,35,4.8011,0.060357,0.047668
music_audio,54,0.941406,37,5.0754,0.074074,0.101422
graphics_visuals,244,4.253761,114,15.6379,0.334705,0.341024
performance_technical,30,0.523003,21,2.8807,0.041152,0.033092
controls_gamefeel,52,0.906539,35,4.8011,0.071331,0.051253
replayability_builds,160,2.789352,100,13.7174,0.219479,0.192918
price_value,106,1.847945,74,10.1509,0.145405,0.381737
bugs_issues,149,2.597584,84,11.5226,0.20439,0.29753
